ASV	WS_A_3	WS_A_6	WS_B_3	WS_B_6	WS_C_3	WS_C_6	WS_D_3	WS_D_6	WS_E_3	WS_E_6	WS_F_3	WS_F_6	WS_G_3	WS_G_6	WS_H_3	WS_H_6	WS_I_3	WS_I_6	WS_A_9	WS_B_9	WS_C_9	WS_D_9	WS_E_9	WS_F_9	WS_G_9	WS_H_9	WS_I_9
f4141d8bac0c1aa1a889524533e7c9d9	13	34	0	16	15	35	0	74	0	29	204	21	0	9	22	10	36	86	0	0	35	43	39	16	94	0	34
3d5baff45729bf2214074c2e9f77ad10	0	23	0	0	0	8	0	57	0	27	0	5	0	0	0	0	9	10	25	6	0	134	4	242	26	284	0
ceec694515496f505e8a0495faadf135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	208	68	94	104	23	108	24	181
319a2feea6f238009b24e78f87094ed6	0	0	0	0	0	0	0	16	0	17	0	27	0	0	9	40	0	27	0	37	65	208	81	44	30	49	169
17d479432a2a2aa81dda2a433744fff9	0	0	0	0	0	0	0	12	0	0	0	0	0	12	0	0	0	3	66	70	47	92	134	44	201	51	83
dfa55444de9e265475ced8f630cda4a2	0	10	0	38	35	67	29	0	0	23	34	0	0	0	75	93	30	79	19	29	158	0	10	0	20	0	61
fc6622c636a5210293fb2873fc4761d9	54	145	24	12	25	8	86	70	15	72	23	41	21	56	50	17	14	66	0	0	0	0	0	0	0	0	0
9647185731c7c822aaf70d29cf5b4445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	280	0	0	160	0	32	58	198	31
fc7b257064027e1bc2b6fbfb4584677d	45	0	0	0	17	0	61	0	0	0	179	0	0	0	33	18	0	21	42	0	40	26	84	84	88	33	19
113ea0d9a4d6d3e459760656562b5ddd	54	11	0	16	0	32	0	0	0	41	10	0	0	0	14	0	15	33	27	136	82	56	56	51	56	35	64
9cde2373849523d28439507aa5411277	0	0	0	24	0	68	0	0	0	0	88	0	0	13	63	54	0	51	27	95	91	44	0	21	0	23	119
552fd311666401ca49a3668730e35300	0	6	0	8	0	9	0	4	0	20	0	0	0	6	0	0	0	20	27	10	21	81	370	17	92	59	29
f01b615fee6603378902ce47bbfce504	0	0	0	0	0	0	0	9	0	16	0	0	0	0	3	0	0	0	58	168	76	143	77	25	82	28	93
1e31234f3abac84a6cee692d11823046	11	8	0	13	5	21	0	0	0	24	23	0	0	0	17	21	7	39	43	54	107	54	63	45	78	21	122
312462f6e0e039fc1886915e60053f38	2	2	5	0	0	0	5	0	4	737	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
3fdf30eedc8bfd61906a77345a2686ed	17	11	0	0	27	18	0	0	28	26	124	0	17	0	0	0	0	43	9	51	62	47	50	18	27	44	151
1c86ccd923464734e4da8060ab80980f	109	54	0	0	58	87	0	62	0	50	188	107	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0
133a40be8ba8eb0e124c31585039a7e7	0	3	0	25	0	41	0	10	0	24	33	19	0	0	0	58	0	45	26	101	111	0	0	17	0	138	105
2d2cfe3970153f65df6fb6d1a6da95cf	3	0	0	29	21	65	0	7	0	29	93	7	0	6	16	7	6	74	21	16	33	52	110	12	68	0	77
93251fadeaf58933c4f46dcf8920fe06	12	54	0	8	5	9	0	31	2	64	2	25	0	15	17	9	0	77	31	8	69	64	147	21	15	15	42
c48503c3a441b65fc33a4a5a1a06e5e5	74	9	0	4	10	64	7	28	0	0	0	4	0	0	430	0	40	39	5	0	0	5	0	11	3	0	2
0a043f468eba33f7eeb84507a00490a4	0	0	0	0	0	23	0	13	0	42	0	0	0	0	0	0	0	20	26	0	101	80	234	81	47	33	32
01255b0ddc21923e6857364b7e46bf36	0	0	0	8	0	25	0	8	0	18	0	0	0	0	3	0	0	25	41	19	368	14	21	18	47	61	53
