ASV	WS_A_3	WS_A_6	WS_B_3	WS_C_3	WS_D_6	WS_E_3	WS_E_6	WS_F_3	WS_F_6	WS_G_6	WS_H_3	WS_I_3	WS_I_6	WS_A_9	WS_B_9	WS_C_9	WS_D_9	WS_E_9	WS_F_9	WS_G_9	WS_H_9	WS_I_9
7545e1e3c130e7a3207b006794b3a7af	10	0	0	10	17	13	0	0	31	0	43	11	118	0	0	0	0	0	0	0	0	0
c406894d470e1b6574ac7cb1a95c3365	59	0	2	53	0	62	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0
df929fe6126017412812cfd9ca4c8fc3	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	7	104	0	0	45	0	78
63774dc4b162b15e65014991e0e57619	0	0	0	0	29	0	12	0	77	0	0	0	12	10	22	12	6	0	5	8	6	49
e6f774772f8e814071a4221e59af7dfc	0	0	0	0	0	0	0	0	0	0	0	0	0	74	78	0	0	0	0	0	90	0
eb8fdcccdfadb5f93348444d54fdec2e	24	0	21	20	0	49	0	38	0	0	35	52	0	0	0	0	0	0	0	0	0	0
7d91ecdfcb42df63d737bfd2a1059e75	0	0	0	0	5	0	122	0	32	0	0	26	39	0	0	9	0	0	0	0	0	0
064f864d5b89d599e05859623c75fdb3	0	0	0	16	0	0	16	0	0	0	0	13	104	83	0	0	0	0	0	0	0	0
1edd0148bee11d5af2118b764e49482e	0	0	0	0	0	0	0	0	0	0	168	62	0	0	0	0	0	0	0	0	0	0
e3917077968abc84ce2881527458d4c4	130	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11cc6c775904cce502db947e36937420	0	0	0	0	0	0	0	0	0	0	0	0	0	63	79	0	0	0	0	35	50	0
1bdb1b131daf47ca66c88ff8605bee5f	0	0	0	0	108	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0
955bc8f3b45424cd688c554937d4c2fc	0	0	0	0	0	0	29	0	11	53	0	0	0	0	15	0	39	13	0	63	0	0
a59efcd629e5c227cb922d7ed88dd62a	0	0	0	0	39	0	0	0	0	0	149	0	0	0	0	0	0	0	34	0	0	0
15103c5c3485d36dbf026f7a6586b2db	0	0	0	0	31	0	26	0	22	0	0	0	14	27	3	14	0	0	20	11	5	45
4ba6442b8a088096fbe36cb1e7a873fa	0	0	33	0	98	8	19	0	23	0	15	0	21	0	0	0	0	0	0	0	0	0
90617b811d1b35c52ad6811215f6f7c8	0	0	0	0	25	0	0	0	40	0	0	0	88	0	0	11	0	0	0	52	0	0
f595b71d4ab4cb0209b8788b82fc5c60	0	0	0	0	49	0	32	0	0	31	0	0	83	0	0	0	0	0	0	21	0	0
6761e3cc11a71f84296f806dfa6d8006	31	0	0	0	0	21	0	0	0	0	48	116	0	0	0	0	0	0	0	0	0	0
957d1e7eadaaa74d1ab34114505714e8	0	0	0	0	0	0	0	0	0	0	0	0	0	23	53	4	4	0	87	15	27	2
05f956bd114af89b391e013d9fd51a19	107	0	0	7	0	73	0	0	0	0	9	17	0	0	0	0	0	0	0	0	0	0
a9e432a1bc67f70de5d3ab42dec6c78e	52	0	0	3	0	32	0	30	0	41	18	0	0	0	0	0	0	0	0	31	0	0
f226e143165b31a84d93a9dd84480108	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	33	0	114	0
e301822643c3224e4a63e295f40e730f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0
54f42f1d216501611060ecb554cd6ef0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c066badb72f9adaf00ef8c5e75cc0448	0	0	0	0	0	0	0	0	0	0	43	0	153	0	0	0	0	0	0	0	0	0
9005097ebba52f4752f75e58d91c4471	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0
c1aef9122bca741afddb36c3b0689bc6	0	0	0	0	0	0	8	0	0	19	0	0	27	25	27	6	17	18	0	25	0	23
613d11944836cb12a0c673a00d08f5b0	0	0	0	0	0	0	60	37	0	25	0	53	0	0	0	19	0	0	0	0	0	0
81ab0a63c5d7771a4e57fa6038917454	0	0	0	16	0	19	0	13	55	0	0	54	20	3	0	0	0	0	12	0	0	0
7146cb4d51d1cabe5f7a47522e757158	0	0	0	0	0	0	3	0	0	0	0	0	0	11	7	21	82	8	44	10	5	0
30e4bed9fe218957f41ccaec1c5de0fb	0	0	10	0	0	0	0	0	0	0	127	52	0	0	0	0	0	0	0	0	0	0
39c9bf6b1b0e7af5adef281dcb12537f	41	0	37	14	0	34	16	0	0	7	0	24	10	0	0	0	0	0	0	0	0	6
83cde6e2d75e244abb4cd968aea2799a	81	0	0	0	0	19	7	21	0	0	0	61	0	0	0	0	0	0	0	0	0	0
60969a489b6d203881345b7f191a6b91	6	0	0	4	0	8	4	0	0	0	13	31	122	0	0	0	0	0	0	0	0	0
e0d1893f46fcacd8b94ca446ccee60f3	0	0	0	0	0	0	0	0	0	0	0	6	6	6	0	41	0	0	9	21	39	58
602ab5f55870b4c79b952ce950e2980f	16	0	0	0	0	18	0	0	10	0	0	30	111	0	0	0	0	0	0	0	0	0
4ee497cac87ad5a34b4b2413cf63e127	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	49	0	10	24	41	42
7a73c250ea3dab7d99619e333682057f	0	0	0	0	0	0	0	0	0	3	0	0	181	0	0	0	0	0	0	0	0	0
24c44c48363d09d6d7977a11795b3b06	0	0	0	0	0	0	0	62	0	0	118	0	0	0	0	0	0	0	0	0	0	0
e02384a392d0ba77138b6afc94e83354	0	0	0	0	0	29	0	0	25	0	42	84	0	0	0	0	0	0	0	0	0	0
9a4cbc74031efd4487029defb8def1d0	30	0	0	0	0	23	27	49	0	0	3	19	23	0	0	0	0	0	0	0	0	5
6bd503ebc9ac75eb5ea8711069ef03f3	0	0	0	0	0	0	0	0	0	0	0	0	0	19	43	0	0	0	89	12	16	0
443090d59cb536a1468df473313b597e	0	0	0	0	0	0	0	0	0	0	54	0	120	0	0	0	0	0	0	0	0	0
7155c650e124fc10328d8f6d4fde555f	0	0	0	0	23	0	0	0	6	0	0	0	48	0	0	35	0	0	0	0	0	59
d364ddfa83452bf28446928849224c21	45	0	0	0	0	30	0	34	0	0	0	59	0	0	0	0	0	0	0	0	0	0
f33d9c0ef7de087e8d9d6e78bb80302a	59	0	0	0	0	37	0	25	0	0	16	30	0	0	0	0	0	0	0	0	0	0
